"Fiscal Year","Employer","Initial Approvals","Initial Denials","Continuing Approvals","Continuing Denials","NAICS","Tax ID","State","City","ZIP"
"2017","TOOLCARE US INTERNATIONAL LLC","1","0","0","0","81","","AL","AUBURN","36832"
"2017","NORTHEAST ARKANSAS CMTY MENTAL","0","0","1","0","62","","AR","JONESBORO","72401"
"2017","THE BELPORT CO INC","1","0","0","0","33","","CA","CAMARILLO","93012"
"2017","INST OF QUANTITATIVE SYS PHARMACOL","2","0","0","0","54","","CA","CARLSBAD","92008"
"2017","A PLUS ADULT DAY HEALTH CARE","1","0","0","0","62","","CA","EL MONTE","91731"
"2017","8MINUTENERGY RENEWABLES LLC","0","0","1","0","22","","CA","FOLSOM","95630"
"2017","BIZNESS APPS INC","1","0","0","0","54","","CA","LA JOLLA","92037"
"2017","SI GOURMET INC","0","1","0","0","31","","CA","LOS ANGELES","90066"
"2017","GLOBAL EAGLE SOFTWARE INC","1","0","0","0","54","","CA","MILPITAS","95035"
"2017","BIRCHSTREET SYSTEMS INC","1","0","0","0","51","","CA","NEWPORT BEACH","92660"
"2017","ALAN M LASKIN & ASSO DBA LAW OFFIC","1","0","0","0","54","","CA","SACRAMENTO","95811"
"2017","BUILT ROBOTICS INC","0","0","1","0","33","","CA","SAN FRANCISCO","94107"
"2017","PARSONS CONSTRUCTIONS GROUP INC","1","0","0","0","54","","CA","SAN FRANCISCO","94111"
"2017","USTE INC DBA VISTA PROFESSIONAL","0","0","1","0","33","","CA","SIMI VALLEY","93063"
"2017","ROCKLAND GRP INC","0","1","0","0","42","","CA","SOUTH EL MONTE","91733"
"2017","FARSIGHT GENOME SYSTEMS INC","1","0","0","0","51","","CA","SUNNYVALE","94085"
"2017","DNPR SVCS LLC","1","0","0","0","54","","CO","BOULDER","80301"
"2017","CTR FOR APPLIED LINGUISTICS CAL","0","0","1","0","61","","DC","WASHINGTON","20016"
"2017","PEDIATRIC & FAMILY MEDICAL CTR","1","0","0","0","62","","DC","WASHINGTON","20036"
"2017","PEC NORTH AMERICA IN","1","0","0","0","33","","FL","BOCA RATON","33431"
"2017","CABLE AND WIRELESS COMMUNICATIONS","0","0","1","0","99","","FL","CORAL GABLES","33134"
"2017","PARADISE CRUISE LINE MANAGEMENT LL","0","0","1","0","56","","FL","DEERFIELD BEACH","33441"
"2017","PARADISE CRUISE LINE MANAGMENT LLC","1","0","0","0","56","","FL","FORT LAUDERDALE","33308"
"2017","CES4 LLC","1","0","0","0","54","","FL","MIAMI","33166"
"2017","PLD AQUISITIONS LLC","0","0","1","0","42","","FL","MIAMI","33172"
"2017","SOFTWARE BROKERS OF AMERICA INC SB","0","0","1","0","99","","FL","MIAMI","33180"
"2017","JVK HOSPITALITY","0","0","1","0","72","","FL","ORLANDO","32819"
"2017","A WOMAN S PREGNANCY CENTER","0","1","0","0","62","","FL","TALLAHASSEE","32304"
"2017","CAIEP ATLANTA INC","1","0","0","0","92","","GA","ALPHARETTA","30022"
