sector,n,initial,denials,rate
Educational services,11540,82843,2287,2.761
Health care/social assistance,15593,41585,1681,4.042
Retail trade,4130,38620,1760,4.557
Manufacturing,19152,75487,3448,4.568
Mining,631,1540,81,5.26
Information,9308,51257,2821,5.504
Utilities,808,1624,91,5.603
Management of companies,421,3127,177,5.66
Finance/insurance,10236,42823,2565,5.99
Construction,3607,6002,498,8.297
Public administration,891,1381,146,10.572
Transportation,1536,3539,412,11.642
Wholesale trade,4691,8127,1182,14.544
Other services,2119,3176,462,14.547
Administrative/support,2574,10081,1582,15.693
Real estate,1873,3164,524,16.561
Unknown,4844,6570,1115,16.971
Arts/entertainment,896,1237,220,17.785
Professional/scientific/technical,79930,481007,86171,17.915
Agriculture,345,587,120,20.443
Accommodation/food,1279,1868,496,26.552
