num_leaves,learning_rate,min_child_samples,trees_reg,val_r2_weighted,trees_clf,val_auc,chosen
15,0.02,50,565,0.3962968568018871,655,0.7968382362239943,False
15,0.04,50,263,0.3925413626723262,297,0.7965807504328037,False
15,0.1,50,127,0.39171903956190846,128,0.7964186833669127,False
48,0.02,50,347,0.4035599441425157,303,0.7967480313335948,False
48,0.04,50,171,0.4002873487980898,163,0.7964948830093102,True
48,0.1,50,65,0.39768199338410026,50,0.7963200309546488,False
127,0.02,50,273,0.40110584818649375,234,0.7956544294633588,False
127,0.04,50,98,0.39037308558873607,102,0.7959440358055121,False
127,0.1,50,40,0.40400581126513224,40,0.7959212668775718,False
48,0.04,20,224,0.40268253169268997,146,0.7966931973210206,False
48,0.04,200,90,0.3883851253649865,132,0.7966202036324234,False
