size_decile,min_petitions,max_petitions,matched_pct,petition_weighted_pct
1,1.0,1.0,65.56159420289856,65.56159420289856
2,1.0,1.0,64.90730116552932,64.90730116552932
3,1.0,1.0,63.98333232683133,63.98333232683133
4,1.0,1.0,62.6970227670753,62.6970227670753
5,1.0,1.0,63.315217391304344,63.315217391304344
6,1.0,2.0,66.16945467721482,66.94191505005374
7,2.0,2.0,77.01552026088532,77.01552026088532
8,2.0,3.0,81.29114076937013,81.90775483200227
9,3.0,7.0,85.97741409505404,86.21176945594024
10,7.0,5500.0,88.82850241545893,92.00770899593488
