sample,seed,r2_wls,r2_gbm,auc_logit,auc_gbm,r2_frac
All employer-years,45,0.295731622386743,0.4187340543263923,0.7884318168176812,0.7973145974519864,0.34084487296152477
All employer-years,46,0.2855994355291477,0.3943880025368165,0.7928303284855416,0.8006304017238368,0.341724628083264
All employer-years,47,0.3329836290184639,0.43933122100470257,0.7901923801509777,0.7991489496766161,0.38604102800893625
All employer-years,48,0.28489416563767356,0.39375298865290853,0.7875180745085445,0.7977820526101267,0.3323041687567386
All employer-years,49,0.3239026219261315,0.43405274299448504,0.7886713073643856,0.7971837874253054,0.3849980242590082
All employer-years,50,0.26015763483763177,0.3775214090617677,0.7893274928818559,0.7984287494981273,0.3143806135869399
All employer-years,51,0.3216736892511739,0.42691113011923143,0.7887498146360782,0.7966801903350181,0.37715443113937364
All employer-years,52,0.3260532531569028,0.4450814309539156,0.7884182137021899,0.7966654865707128,0.37764477345221503
All employer-years,53,0.29421644865628627,0.40594696481169246,0.7871952012985445,0.7973607136547889,0.35347435087033396
All employer-years,54,0.3055169235582179,0.4040789736098026,0.7939310617647992,0.8023252959583717,0.3547727981368285
"Matched, baseline",45,0.3530348870617842,0.4771471630755252,0.8259855600171808,0.8356287031128073,0.42560258587404254
"Matched, baseline",46,0.2797804970092349,0.40449950854475947,0.8281530768717704,0.8373794748078838,0.3421766436268626
"Matched, baseline",47,0.3563510979864779,0.46516502851326125,0.8269755101676332,0.8363410567136642,0.42886016050509634
"Matched, baseline",48,0.31283148180939535,0.44483970498447734,0.8289527055551291,0.837164405344901,0.3813070365101776
"Matched, baseline",49,0.3112961137707926,0.4479435552656206,0.8236707861427146,0.8331347751192886,0.38072752095825324
"Matched, baseline",50,0.32315356421236785,0.45052562055570144,0.8304366135688724,0.8383840186260179,0.3961377193894643
"Matched, baseline",51,0.33029787964732205,0.45216576852279033,0.8294475670185976,0.837646614724424,0.38984502395180576
"Matched, baseline",52,0.3694689045974192,0.49537740659133545,0.831760866620677,0.8409939603197853,0.4457575707947158
"Matched, baseline",53,0.32997267046817247,0.44461067439346225,0.8256111086475855,0.8348740340478079,0.39134648791997584
"Matched, baseline",54,0.3801609165752551,0.5006621487272518,0.829889358309571,0.8378017436426508,0.4442285100379083
"Matched, with wages",45,0.3811525655990229,0.5310120801244049,0.8428431703157881,0.8541810129009291,0.4838814915176972
"Matched, with wages",46,0.31147322215842976,0.4670755640560571,0.8439623452618497,0.8543364116317306,0.40605565660530707
"Matched, with wages",47,0.3847550233445153,0.5276341922250587,0.8449054337833751,0.8548119958690861,0.47573188988159687
"Matched, with wages",48,0.34828721065362866,0.5143657925804006,0.8452144714716782,0.855162828775635,0.45162280042831915
"Matched, with wages",49,0.34209773482346695,0.5030184452454368,0.8414155143560256,0.8531854818977512,0.44960919763639773
"Matched, with wages",50,0.34584373284680814,0.4967741054166529,0.847367283045321,0.8568225316695425,0.4573634494435277
"Matched, with wages",51,0.36299974841798577,0.5003748463116897,0.8466599306680763,0.8551185688148283,0.45412045417596747
"Matched, with wages",52,0.3956401975091296,0.5481610569631998,0.8490554361846893,0.8594151916916302,0.5111311899321436
"Matched, with wages",53,0.35104997870000954,0.49152887787153876,0.8407146077502988,0.8525943270940216,0.4317837373413562
"Matched, with wages",54,0.40088534347059723,0.5399981827016964,0.8471539403404618,0.8563122151840517,0.5035136101969184
