sample,partition,fy,rows,employers,year_share
all employer-years,train,2017,92368,54387,0.1363783994456955
all employer-years,train,2018,92368,54387,0.16901957387839944
all employer-years,train,2019,92368,54387,0.19904079334834573
all employer-years,train,2020,92368,54387,0.16592326346786765
all employer-years,train,2021,92368,54387,0.15609301922743807
all employer-years,train,2022,92368,54387,0.1735449506322536
all employer-years,validation,2017,23528,13597,0.13758075484529073
all employer-years,validation,2018,23528,13597,0.16601496089765386
all employer-years,validation,2019,23528,13597,0.20022951377082626
all employer-years,validation,2020,23528,13597,0.1675875552533152
all employer-years,validation,2021,23528,13597,0.15615436926215573
all employer-years,validation,2022,23528,13597,0.17243284597075825
all employer-years,test,2017,49697,29137,0.13471638127049923
all employer-years,test,2018,49697,29137,0.17035233515101514
all employer-years,test,2019,49697,29137,0.20379499768597703
all employer-years,test,2020,49697,29137,0.16526148459665574
all employer-years,test,2021,49697,29137,0.15608588043543875
all employer-years,test,2022,49697,29137,0.1697889208604141
matched employer-years,train,2017,66725,34805,0.1364556013488198
matched employer-years,train,2018,66725,34805,0.15836642937429748
matched employer-years,train,2019,66725,34805,0.18738104158860996
matched employer-years,train,2020,66725,34805,0.16645934807043836
matched employer-years,train,2021,66725,34805,0.15938553765455227
matched employer-years,train,2022,66725,34805,0.19195204196328214
matched employer-years,validation,2017,16719,8702,0.13601291943298044
matched employer-years,validation,2018,16719,8702,0.15736587116454334
matched employer-years,validation,2019,16719,8702,0.18703271726777917
matched employer-years,validation,2020,16719,8702,0.16514145582869788
matched employer-years,validation,2021,16719,8702,0.15904061247682277
matched employer-years,validation,2022,16719,8702,0.1954064238291764
matched employer-years,test,2017,35741,18646,0.138328530259366
matched employer-years,test,2018,35741,18646,0.15671078033630845
matched employer-years,test,2019,35741,18646,0.1884670266640553
matched employer-years,test,2020,35741,18646,0.16451694132788675
matched employer-years,test,2021,35741,18646,0.1607397666545424
matched employer-years,test,2022,35741,18646,0.19123695475784114
