,coef,lo,hi,p
log_initial,-0.005542678151642135,-0.009044543555061277,-0.0020408127482229935,0.001920950457864858
continuing_share,-0.11171844628374494,-0.13313023721826825,-0.09030665534922164,1.5113220119102952e-24
log_prev_initial,0.004641487223733204,-0.00185730704395589,0.011140281491422299,0.16156696897680567
prev_denial_rate,0.34822216751469104,0.3132735541359607,0.3831707808934214,6.254575210736883e-85
prior_active_years,0.004886147478900092,-0.002390819174486928,0.012163114132287111,0.18816551154194405
is_repeat_sponsor,-0.028258021644722155,-0.043695691131528096,-0.012820352157916217,0.0003336925176820085
sector_Administrative/support,-0.08664911617997292,-0.12869877762352575,-0.044599454736420095,5.373093478706507e-05
sector_Agriculture,-0.05055648954632778,-0.14281629215329378,0.041703313060638215,0.28281359389553395
sector_Arts/entertainment,-0.08829123585086796,-0.1247862590386596,-0.05179621266307631,2.11955491727933e-06
sector_Construction,-0.16685493654848155,-0.19533367936030357,-0.13837619373665952,1.6007104796441297e-30
sector_Educational services,-0.18223292969308347,-0.20962008202905436,-0.15484577735711258,7.10307086438247e-39
sector_Finance/insurance,-0.13902602618451887,-0.16689940424377392,-0.11115264812526382,1.429501964044821e-22
sector_Health care/social assistance,-0.17128811506702035,-0.19857986914309844,-0.14399636099094226,8.935139576425856e-35
sector_Information,-0.14268974495598175,-0.17220909923169184,-0.11317039068027165,2.6929313315691538e-21
sector_Management of companies,-0.11520398549823982,-0.1530944328107495,-0.07731353818573014,2.5352039508307033e-09
sector_Manufacturing,-0.16306743893286907,-0.1909029740182018,-0.13523190384753633,1.6256623890467903e-30
sector_Mining,-0.2091476079465661,-0.24727908931289938,-0.1710161265802328,5.9121019558701054e-27
sector_Other services,-0.09901483946599486,-0.13184986823468803,-0.0661798106973017,3.4144427725217856e-09
sector_Professional/scientific/technical,-0.07706114291617676,-0.10435795002220574,-0.049764335810147775,3.145475832586227e-08
sector_Public administration,-0.14053890922249707,-0.17688838587628425,-0.10418943256870987,3.513045015697171e-14
sector_Real estate,-0.09957640264467013,-0.1376665817546754,-0.061486223534664874,2.9945098536653776e-07
sector_Retail trade,-0.11079865090432794,-0.14166071044654283,-0.07993659136211306,1.9710650677518117e-12
sector_Transportation,-0.11695266229671329,-0.15254726642340385,-0.08135805817002273,1.1961167614938238e-10
sector_Unknown,-0.09680477021359118,-0.12822558489544747,-0.0653839555317349,1.555757085318843e-09
sector_Utilities,-0.15768919331756603,-0.18811407694341276,-0.1272643096917193,3.0433196133526268e-24
sector_Wholesale trade,-0.1070089196419018,-0.13635631777929869,-0.07766152150450494,8.89643439413253e-13
state_grp_FL,0.03748357987425553,0.013256497884603185,0.061710661863907876,0.002426087391775002
state_grp_IL,0.02379583517782493,0.012259575395906906,0.03533209495974295,5.281298075225901e-05
state_grp_MA,-0.006378605455248924,-0.016152995704333345,0.0033957847938354945,0.20088293947547686
state_grp_MD,0.0024618999319351003,-0.013616381581219335,0.018540181445089537,0.7640940991889347
state_grp_MI,0.04179328559372639,0.02309095539459681,0.060495615792855964,1.187629639071872e-05
state_grp_NJ,0.039641411386793675,0.02452594102733564,0.05475688174625171,2.745237087957698e-07
state_grp_NY,-0.0103581432167567,-0.018267889462416725,-0.0024483969710966755,0.010268479953088053
state_grp_OTHER,0.00992991407107292,0.0017031515745999544,0.018156676567545885,0.01799470929046846
state_grp_PA,-0.008680925157557695,-0.020983712350612055,0.0036218620354966646,0.16667618191705902
state_grp_TX,0.06400207453747811,0.04300883517895876,0.08499531389599746,2.2960957833375644e-09
state_grp_VA,0.03665186090703264,0.02250866397234147,0.050795057841723806,3.7899911603320154e-07
state_grp_WA,-0.009766787508101709,-0.023388972589458466,0.0038553975732550476,0.1599474706412921
fy_cat_2018,0.0822392001244027,0.06799644874255627,0.09648195150624912,1.0805194349505762e-29
fy_cat_2019,0.021968986722052504,0.005117312884002696,0.03882066056010231,0.010614442894866087
fy_cat_2020,-0.06026098218032096,-0.08433669878400354,-0.03618526557663837,9.307282162885908e-07
fy_cat_2021,-0.12680922590643387,-0.13973311466999622,-0.11388533714287152,2.029922536499386e-82
fy_cat_2022,-0.12201643017380553,-0.13626489137494668,-0.10776796897266437,3.189495680948796e-63
