,coef,lo,hi,p
log_initial,-0.0048644372610014705,-0.015273933284822318,0.0055450587628193765,0.35971610021885614
continuing_share,-0.09232335787801094,-0.11726166500413909,-0.06738505075188278,3.9892961297595427e-13
log_prev_initial,0.0012557444705172116,-0.004601447060560633,0.007112936001595056,0.6743366042814094
prev_denial_rate,0.3012715596772426,0.27520102180036005,0.3273420975541252,1.4150185040609785e-113
prior_active_years,0.008295430087215007,0.003005156851110787,0.013585703323319227,0.002116857655196481
is_repeat_sponsor,-0.015423916329024994,-0.03328719421527578,0.0024393615572257943,0.09058563712434752
wage_ratio_med,-0.01251148169883647,-0.029177199659534612,0.004154236261861673,0.14118109031957032
log_wage_annual,-0.005648290175906627,-0.02803721393227172,0.016740633580458467,0.6209807788588586
share_low_level,0.017583655312386273,0.00044044765967508545,0.03472686296509746,0.04439734427388015
share_agent,-0.047439788880049405,-0.06181995065903376,-0.03305962710106505,1.0071666611292134e-10
share_dependent,0.04468252870165193,0.03195850780176927,0.05740654960153459,5.8711502428861835e-12
log_lca_filings,-0.003965416575722249,-0.013888738543406044,0.005957905391961546,0.43350210698722647
sector_Administrative/support,-0.009039688484623108,-0.06400092176402138,0.045921544794775164,0.747177768677792
sector_Agriculture,-0.05221426478998027,-0.10141977971424923,-0.0030087498657113063,0.03754304469209808
sector_Arts/entertainment,-0.044073858120567834,-0.08106737847999476,-0.007080337761140913,0.01953875474425886
sector_Construction,-0.06072309524423704,-0.09336857350994589,-0.02807761697852819,0.0002666820933006798
sector_Educational services,-0.050719874138117495,-0.08555664097419441,-0.01588310730204058,0.004323110459274602
sector_Finance/insurance,-0.06507585741852154,-0.0959572536577098,-0.03419446117933328,3.624480867962524e-05
sector_Health care/social assistance,-0.027107125031872355,-0.05958334907496729,0.005369099011222581,0.1018532099037998
sector_Information,-0.08051083354058822,-0.11334752596123387,-0.04767414111994255,1.5432744143843148e-06
sector_Management of companies,-0.06232350038912288,-0.09982379191526136,-0.02482320886298439,0.0011245512472471994
sector_Manufacturing,-0.04746079778969961,-0.07909007577041982,-0.015831519808979393,0.0032716295521049744
sector_Mining,-0.06805622880714864,-0.10577729799175525,-0.03033515962254201,0.0004059878531778282
sector_Other services,-0.03892030729689066,-0.07448396838360082,-0.003356646210180503,0.03195656222894304
sector_Professional/scientific/technical,-0.014724234347222342,-0.04553355882535705,0.01608509013091236,0.3489149874714139
sector_Public administration,-0.05437431374524363,-0.09424859581935366,-0.014500031671133597,0.0075245177852845575
sector_Real estate,-0.039140481646095425,-0.07834043159297124,5.946830078040061e-05,0.05034857113858827
sector_Retail trade,-0.06533617183228382,-0.10735970539033318,-0.023312638274234465,0.002309394919643058
sector_Transportation,-0.06382954484622966,-0.09995476409810439,-0.027704325594354935,0.0005340798785395579
sector_Unknown,-0.05692830157129953,-0.08990080393537217,-0.023955799207226895,0.000714500555093753
sector_Utilities,-0.054654126723358905,-0.08909194475474935,-0.020216308691968457,0.001867472631134588
sector_Wholesale trade,-0.040646983216839974,-0.07279203064420355,-0.008501935789476403,0.013199223154287383
state_grp_FL,0.03668093685664241,0.012277804916334071,0.06108406879695075,0.0032184039910793613
state_grp_IL,0.036540250471874626,0.01661161055500984,0.05646889038873941,0.0003260138290376165
state_grp_MA,0.003742565374315599,-0.007789418810523889,0.015274549559155087,0.5247226503698454
state_grp_MD,-0.013476643222047505,-0.03154992915455127,0.004596642710456261,0.14388392075503453
state_grp_MI,0.03480638133007332,0.01169406850127606,0.057918694158870576,0.003160900308421771
state_grp_NJ,0.007986913903471247,-0.01056635580103293,0.026540183607975425,0.3988168846875024
state_grp_NY,0.00025232642501124255,-0.010531172130048373,0.011035824980070857,0.9634203975110847
state_grp_OTHER,0.018884345157518148,0.00880114771500027,0.028967542600036027,0.0002418642566825283
state_grp_PA,0.0333265853118228,-0.02120486532671617,0.08785803595036178,0.23098677992156968
state_grp_TX,0.025280696319433287,0.007549644497621539,0.04301174814124503,0.005198158238484741
state_grp_VA,0.013087508244950807,-0.007730563278860181,0.033905579768761795,0.21789201663205182
state_grp_WA,-0.01979420578665465,-0.040663942903033254,0.001075531329723954,0.06303332502420002
fy_cat_2018,0.08270868378673943,0.05907085724187275,0.10634651033160611,6.987619879389821e-12
fy_cat_2019,0.029523363036526737,0.010968392934431477,0.048078333138622,0.0018173910618385202
fy_cat_2020,-0.07199144409344604,-0.10116486875478747,-0.04281801943210462,1.3206855195878315e-06
fy_cat_2021,-0.14477457700654123,-0.1646180788497124,-0.12493107516337004,2.2025927553283733e-46
fy_cat_2022,-0.13241846457042378,-0.14867568919002233,-0.11616123995082522,2.2652231698367985e-57
soc2_modal_13.0,-0.0041714959554726245,-0.01936228766824399,0.01101929575729874,0.5904254503626467
soc2_modal_15.0,0.024173800727657447,0.011332841400794984,0.03701476005451991,0.00022448490621065036
soc2_modal_17.0,-0.050700358151718715,-0.0655597706026491,-0.03584094570078833,2.271660396341303e-11
soc2_modal_19.0,-0.07166873092467821,-0.08849343661963088,-0.05484402522972553,6.888964584718701e-17
soc2_modal_20.0,-0.028782126074442926,-0.090100233338939,0.03253598119005316,0.35757896503740083
soc2_modal_21.0,-0.02219259053697887,-0.05097114797763261,0.006585966903674873,0.1306797880133743
soc2_modal_23.0,-0.061255283635942064,-0.07867847054817116,-0.043832096723712966,5.551412630449996e-12
soc2_modal_25.0,-0.0775321658429142,-0.09412893754862012,-0.060935394137208276,5.3850317292604635e-20
soc2_modal_27.0,-0.013348477841760563,-0.033035643649949875,0.00633868796642875,0.18387658651617478
soc2_modal_29.0,-0.08302332025201412,-0.10068518693165865,-0.06536145357236958,3.1647642699905567e-20
soc2_modal_30.0,1.6348203013433855e-17,-2.438065385495717e-16,2.765029445764394e-16,0.9019766523852296
soc2_modal_31.0,0.19135131885128848,-0.1666432553213325,0.5493458930239095,0.2948144689976925
soc2_modal_33.0,-0.012518840776148177,-0.29401820403002366,0.2689805224777273,0.9305415310643304
soc2_modal_35.0,0.2483748406825629,0.06305430145138285,0.43369537991374296,0.008618411913288333
soc2_modal_39.0,0.11175999192244368,0.02184524325418158,0.20167474059070578,0.014844644177902457
soc2_modal_41.0,0.0015281662556426755,-0.051526674635706496,0.05458300714699185,0.9549802472991114
soc2_modal_43.0,0.006601472732296576,-0.07727984064225134,0.0904827861068445,0.8774130311881964
soc2_modal_45.0,-0.1998431506897948,-0.2322731156480472,-0.1674131857315424,1.3823011874256572e-33
soc2_modal_47.0,-0.03827849389056676,-0.0677507760415284,-0.008806211739605118,0.010909193680863799
soc2_modal_49.0,0.029848403281166072,-0.22330699710050617,0.2830038036628383,0.8172445340402417
soc2_modal_51.0,0.18799979177841364,-0.3255392236591841,0.7015388072160114,0.473055334182819
soc2_modal_53.0,0.03502046044903676,-0.010887294340124656,0.08092821523819818,0.134876085685108
soc2_modal_90.0,-0.0967812501730139,-0.13628594102476144,-0.05727655932126635,1.5736225429817037e-06
soc2_modal_91.0,-0.032860831708569495,-0.06052276261569532,-0.005198900801443668,0.0198946966992035
soc2_modal_UNKNOWN,0.00011759054572790849,-0.022446998564963377,0.022682179656419194,0.9918506010774559
